1;Typhoid and paratyphoid fevers;AB;0;1;1
2;Amebiasis;AB;0;1;1
3;Other protozoal intestinal diseases;AB;0;1;1
4;Giardiasis [lambliasis];AB;0;1;1
5;Diarrhea and gastroenteritis of presumed infectious origin;AB;0;1;1
6;Gastroenteritis and colitis of unspecified origin;AB;0;1;1
7;Respiratory tuberculosis, bacteriologically and histologically confirmed;AB;0;1;1
8;Respiratory tuberculosis, not confirmed bacteriologically or histologically;AB;0;1;1
9;Tuberculosis of other organs;AB;0;1;1
10;Miliary tuberculosis;AB;0;1;1
11;Plague;AB;0;1;1
12;Other zoonotic bacterial diseases, not elsewhere classified;AB;0;1;1
13;Leprosy [Hansen disease];AB;0;1;1
14;Other tetanus;AB;0;1;1
15;Diphtheria;AB;0;1;1
16;Whooping cough;AB;0;1;1
17;Scarlet fever;AB;0;1;1
18;Congenital syphilis;AB;0;1;1
19;Early syphilis;AB;0;1;1
20;Late syphilis;AB;0;1;1
21;Gonococcal infection;AB;0;1;1
22;Chlamydial lymphogranuloma (venereum);AB;0;1;1
23;Other sexually transmitted chlamydial diseases;AB;0;1;1
24;Chancroid;AB;0;1;1
25;Trichomoniasis;AB;0;1;1
26;Anogenital herpesviral [herpes simplex] infection;AB;0;1;1
27;Other predominantly sexually transmitted diseases, not elsewhere classified;AB;0;1;1
28;Acute poliomyelitis;AB;0;1;1
29;Viral meningitis;AB;0;1;1
30;Unspecified viral infection of central nervous system;AB;0;1;1
31;Other mosquito-borne viral fevers;AB;0;1;1
32;Unspecified viral haemorrhagic fever;AB;0;1;1
33;Herpesviral [herpes simplex] infections;AB;0;1;1
34;Varicella [chickenpox];AB;0;1;1
35;Zoster [herpes zoster];AB;0;1;1
36;Measles;AB;0;1;1
37;Rubella [German measles];AB;0;1;1
38;Viral warts;AB;0;1;1
39;Unspecified viral infection characterized by skin and mucous membrane lesions;AB;0;1;1
40;Acute hepatitis B;AB;0;1;1
41;Other acute viral hepatitis;AB;0;1;1
42;Acute hepatitis C;AB;0;1;1
43;Unspecified human immunodeficiency virus [HIV] disease;AB;0;1;1
44;Mumps;AB;0;1;1
45;Viral infection of unspecified site;AB;0;1;1
46;Candidiasis;AB;0;1;1
47;Mycetoma;AB;0;1;1
48;Unspecified mycosis;AB;0;1;1
49;Other parasitologically confirmed malaria;AB;0;1;1
50;Unspecified malaria;AB;0;1;1
51;Schistosomiasis [bilharziasis];AB;0;1;1
52;Echinococcosis;AB;0;1;1
53;Taeniasis;AB;0;1;1
54;Cysticercosis;AB;0;1;1
55;Onchocerciasis;AB;0;1;1
56;Filariasis;AB;0;1;1
57;Ascariasis;AB;0;1;1
58;Trichuriasis;AB;0;1;1
59;Unspecified intestinal parasitism;AB;0;1;1
60;Other helminthiases;AB;0;1;1
61;Pediculosis and phthiriasis;AB;0;1;1
62;Scabies;AB;0;1;1
63;Other and unspecified infectious diseases;AB;0;1;1
64;Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx;CD;0;1;1
65;Malignant neoplasm of stomach;CD;0;1;1
66;Malignant neoplasm of small intestine;CD;0;1;1
67;Malignant neoplasm of colon;CD;0;1;1
68;Malignant neoplasm of gallbladder;CD;0;1;1
69;Malignant neoplasm of other and ill-defined digestive organs;CD;0;1;1
70;Malignant melanoma of skin;CD;0;1;1
71;Other malignant neoplasms of skin;CD;0;1;1
72;Malignant neoplasm of breast;CD;0;1;1
73;Malignant neoplasm of cervix uteri;CD;0;1;1
74;Malignant neoplasm of corpus uteri;CD;0;1;1
75;Malignant neoplasm of ovary;CD;0;1;1
76;Malignant neoplasm of testis;CD;0;1;1
77;Malignant neoplasm of other and unspecified male genital organs;CD;0;1;1
78;Malignant neoplasm of kidney, except renal pelvis;CD;0;1;1
79;Malignant neoplasm of ureter;CD;0;1;1
80;Malignant neoplasm of thyroid gland;CD;0;1;1
81;Malignant neoplasm, without specification of site;CD;0;1;1
82;Benign neoplasm of colon, rectum, anus and anal canal;CD;0;1;1
83;Haemangioma and lymphangioma, any site;CD;0;1;1
84;Melanocytic naevi;CD;0;1;1
85;Other benign neoplasms of skin;CD;0;1;1
86;Benign neoplasm of breast;CD;0;1;1
87;Leiomyoma of uterus;CD;0;1;1
88;Benign neoplasm of ovary;CD;0;1;1
89;Benign neoplasm of male genital organs;CD;0;1;1
90;Benign neoplasm of thyroid gland;CD;0;1;1
91;Benign neoplasm of other and unspecified sites;CD;0;1;1
92;Other nutritional anaemias;D;0;1;1
93;Other hereditary haemolytic anaemias;D;0;1;1
94;Acute posthaemorrhagic anaemia;D;0;1;1
95;Anaemia in chronic diseases classified elsewhere;D;0;1;1
96;Other anaemias;D;0;1;1
97;Other disorders of white blood cells;D;0;1;1
98;Diseases of spleen;D;0;1;1
99;Other diseases of blood and blood-forming organs;D;0;1;1
100;Congenital iodine-deficiency syndrome;E;0;1;1
101;Other hypothyroidism;E;0;1;1
102;Thyrotoxicosis [hyperthyroidism];E;0;1;1
103;Other disorders of thyroid;E;0;1;1
104;Type 1 diabetes mellitus;E;0;1;1
105;Type 2 diabetes mellitus;E;0;1;1
106;Nondiabetic hypoglycaemic coma;E;0;1;1
107;Other disorders of adrenal gland;E;0;1;1
108;Unspecified severe protein-energy malnutrition;E;0;1;1
109;Retarded development following protein-energy malnutrition;E;0;1;1
110;Unspecified protein-energy malnutrition;E;0;1;1
111;Nutritional deficiency, unspecified;E;0;1;1
112;Sequelae of hyperalimentation;E;0;1;1
113;Lactose intolerance;E;0;1;1
114;Volume depletion;E;0;1;1
115;Unspecified dementia;F;0;1;1
116;Mental and behavioural disorders due to use of alcohol;F;0;1;1
117;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;F;0;1;1
118;Schizophrenia;F;0;1;1
119;Acute and transient psychotic disorders;F;0;1;1
120;Unspecified mood [affective] disorder;F;0;1;1
121;Other anxiety disorders;F;0;1;1
122;Somatoform disorders;F;0;1;1
123;Eating disorders;F;0;1;1
124;Sexual dysfunction, not caused by organic disorder or disease;F;0;1;1
125;Unspecified disorder of adult personality and behaviour;F;0;1;1
126;Unspecified mental retardation;F;0;1;1
127;Specific developmental disorders of speech and language;F;0;1;1
128;Specific developmental disorder of motor function;F;0;1;1
129;Hyperkinetic disorders;F;0;1;1
130;Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence;F;0;1;1
131;Meningitis in other infectious and parasitic diseases classified elsewhere;G;0;1;1
132;Meningitis due to other and unspecified causes;G;0;1;1
133;Encephalitis, myelitis and encephalomyelitis;G;0;1;1
134;Spinal muscular atrophy and related syndromes;G;0;1;1
135;Postpolio syndrome;G;0;1;1
136;Parkinson disease;G;0;1;1
137;Alzheimer disease;G;0;1;1
138;Epilepsy;G;0;1;1
