1;01. Jan;06. Dez
2;01. Jan;< 6
3;01. Jan;>=12 (NORMAL)
4;01. Feb;4000 - 7000 (NORMAL)
5;01. Feb;> 7000 (LARTË)
6;01. Feb;< 4000 (ULËT
7;01. Mai;LARTË
8;01. Mai;NORMAL
9;01. Mai;ULËT
10;01. Jun;POZITIVE
11;01. Jun;NEGATIVE
12;02. Jan;A RH+
13;02. Jan;A RH-
14;02. Jan;B RH+
15;02. Jan;B RH-
16;02. Jan;AB RH+
17;02. Jan;AB RH-
18;02. Jan;O RH+
19;02. Jan;O RH-
20;02. Feb;NEGATIVE
21;02. Feb;POZITIVE
22;03. Jan;NEGATIVE
23;03. Jan;PAK
24;03. Jan;+
25;03. Jan;++
26;03. Jan;+++
27;03. Jan;++++
28;03. Feb;POZITIVE
29;03. Feb;NEGATIVE
30;03.02.2001;NEGATIVE
31;03.02.2001;POZITIVE
32;03.02.2002;POZITIVE
33;03.02.2002;NEGATIVE
34;03.02.2003;NEGATIVE
35;03.02.2003;POZITIVE
36;03.02.2004;NEGATIVE
37;03.02.2004;POZITIVE
38;03. Mrz;A..LUMBRICOIDES
39;03. Mrz;E.COLI CYSTS
40;03. Mrz;E.HISTOLYTICA
41;03. Mrz;E.VERMICULARIS
42;03. Mrz;G.LAMBLIA
43;03. Mrz;T.HOMINIS
44;03. Mrz;HOOK WORM
45;03. Mrz;S.MANSONI
46;03. Mrz;S.STERCORALIS
47;03. Mrz;TAENIA SAGINATA
48;03. Mrz;TAENIA SOLIUM
49;03. Mrz;TRICHURISI TRICHURA
50;03. Mrz;HYMENOLEPIS NANA
51;03. Apr;POZITIVE
52;03. Apr;NEGATIVE
53;03. Mai;POZITIVE
54;03. Mai;NEGATIVE
55;03. Jun;POZITIVE
56;03. Jun;NEGATIVE
57;04. Jan;POZITIVE
58;04. Jan;NEGATIVE
59;04. Feb;POZITIVE
60;04. Feb;NEGATIVE
61;04. Mrz;POZITIVE
62;04. Mrz;NEGATIVE
63;04. Apr;POZITIVE
64;04. Apr;NEGATIVE
65;04. Mai;POZITIVE
66;04. Mai;NEGATIVE
67;04. Jun;NORMAL
68;05. Jan;POZITIVE
69;05. Jan;NEGATIVE
70;05. Feb;NEGATIVE
71;05. Feb;PNEUMOCOCCI
72;05. Feb;MENINGOCOCCI
73;05. Feb;HEMOPHILLUS INFL.
74;05. Feb;CRYPTOCOCCI
75;05. Feb;PLEAMORPHIC BACILLI
76;05. Feb;STAPHYLOCOCCI
77;05. Mrz;POZITIVE
78;05. Mrz;NEGATIVE
79;05. Apr;POZITIVE
80;05. Apr;NEGATIVE
81;05. Mai;NEGATIVE
82;05. Mai;+
83;05. Mai;++
84;05. Mai;+++
85;05. Jun;POZITIVE
86;05. Jun;NEGATIVE
87;05. Jul;POZITIVE 
88;05. Jul;NEGATIVE
89;06. Jan;POZITIVE
90;06. Jan;NEGATIVE
91;06. Feb;POZITIVE
92;06. Feb;NEGATIVE
93;06. Mrz;POZITIVE
94;06. Mrz;NEGATIVE
95;06. Apr;POZITIVE
96;06. Apr;NEGATIVE
97;06. Mai;POZITIVE
98;06. Mai;NEGATIVE
99;06. Jun;POZITIVE
100;06. Jun;NEGATIVE
101;07. Jan;POZITIVE
102;07. Jan;NEGATIVE
103;07. Feb;HIGH
104;07. Feb;ULËT
105;07. Feb;NORMAL
106;07. Mrz;HIGH
107;07. Mrz;ULËT
108;07. Mrz;NORMAL
109;07.03.2001;<1.2 (NORMAL)
110;07.03.2001;01.02.2005
111;07.03.2001;> 5
112;07.03.2002;< 1.2 (NORMAL)
113;07.03.2002;01.02.2005
114;07.03.2002;> 5
115;07.03.2003;<= 50 (NORMAL)
116;07.03.2003;> 50
117;07.03.2004;<= 50 (NORMAL)
118;07.03.2004;> 50
119;07. Apr;HIGH
120;07. Apr;ULËT
121;07. Apr;NORMAL
122;07.04.2001;< 1.4 (NORMAL)
123;07.04.2001;1.4 - 2.5
124;07.04.2001;> 2.5
125;07.04.2002;> 10
126;07.04.2002;10-55 (NORMAL)
127;07.04.2002;< 55
128;08. Jan;POZITIVE
129;08. Jan;NEGATIVE
130;09. Jan;SEDIMENTS
131;09. Jan;SUGAR
132;09. Jan;UROBILINOGEN
133;09. Jan;BILIRUBIN
134;09. Jan;PROTEIN
135;09. Jan;HCG
